letter_name,count_all,count_uppercase,percent
N,3,3,1
e,39,0,13
w,4,0,1
s,17,0,6
S,4,4,1
o,21,0,7
m,4,0,1
t,26,0,9
h,13,0,4
i,17,0,6
n,17,0,6
g,5,0,2
a,21,0,7
p,9,0,3
d,14,0,5
L,2,2,1
r,11,0,4
M,2,2,1
k,3,0,1
P,2,2,1
v,4,0,1
A,5,5,2
I,1,1,0
l,14,0,5
b,3,0,1
c,6,0,2
u,14,0,5
y,5,0,2
f,5,0,2
J,1,1,0
D,2,2,1
H,1,1,0
j,1,0,0
F,1,1,0
U,1,1,0
T,1,1,0
x,1,0,0
